"Job","Salary","Requirements(The dash(-) means or)"
"Art therapists","$60,590","Master's Degree: Animal-Assisted Therapy - Art Therapy/Therapist - Dance Therapy/Therapist - Movement Therapy and Movement Education - Music Therapy/Therapist - Rehabilitation and Therapeutic Professions, Other -"
"Athletic trainers","$47,880","Master's Degree: Athletic Training/Trainer - Physical Fitness Technician -"
"Audiologists","$79,290","Doctoral Degree: Audiology/Audiologist and Speech-Language Pathology/Pathologist - Audiology/Audiologist - Communication Disorders Sciences and Services, Other - Communication Sciences and Disorders, General -"
"Cardiovascular technologists and technicians","$57,100","Associate's Degree: Cardiopulmonary Technology/Technologist - Cardiovascular Technology/Technologist - Electrocardiograph Technology/Technician - Perfusion Technology/Perfusionist -"
"Chiropractors","$81,210","Doctoral Degree: Chiropractic -"
"Clinical nurse specialists","$72,180","Master's Degree: Adult Health Nurse/Nursing - Clinical Nurse Leader - Clinical Nurse Specialist - Critical Care Nursing - Emergency Room/Trauma Nursing - Family Practice Nurse/Nursing - Geriatric Nurse/Nursing - Maternal/Child Health and Neonatal Nurse/Nursing - Nursing Administration - Nursing Practice - Nursing Science - Occupational and Environmental Health Nursing - Palliative Care Nursing - Pediatric Nurse/Nursing - Perioperative/Operating Room and Surgical Nurse/Nursing - Psychiatric/Mental Health Nurse/Nursing - Public Health/Community Nurse/Nursing - Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other - Registered Nursing/Registered Nurse - Women's Health Nurse/Nursing -"
"Critical care nurses","$72,180","Associate's Degree: Adult Health Nurse/Nursing - Clinical Nurse Leader - Clinical Nurse Specialist - Critical Care Nursing - Emergency Room/Trauma Nursing - Family Practice Nurse/Nursing - Geriatric Nurse/Nursing - Maternal/Child Health and Neonatal Nurse/Nursing - Nursing Administration - Nursing Practice - Nursing Science - Occupational and Environmental Health Nursing - Palliative Care Nursing - Pediatric Nurse/Nursing - Perioperative/Operating Room and Surgical Nurse/Nursing - Psychiatric/Mental Health Nurse/Nursing - Public Health/Community Nurse/Nursing - Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other - Registered Nursing/Registered Nurse - Women's Health Nurse/Nursing -"
"Cytogenetic technologists","$62,440","Bachelor's Degree: Clinical Laboratory Science/Medical Technology/Technologist - Clinical/Medical Laboratory Science and Allied Professions, Other - Cytogenetics/Genetics/Clinical Genetics Technology/Technologist - Cytotechnology/Cytotechnologist - Histologic Technology/Histotechnologist -"
"Cytotechnologists","$62,440","Post-Baccalaureate Certificate: Clinical Laboratory Science/Medical Technology/Technologist - Clinical/Medical Laboratory Science and Allied Professions, Other - Cytogenetics/Genetics/Clinical Genetics Technology/Technologist - Cytotechnology/Cytotechnologist - Histologic Technology/Histotechnologist -"
"Dentists all other specialists","$171,900","any: Advanced/Graduate Dentistry and Oral Sciences, Other - Dental Clinical Sciences, General - Dental Materials - Dental Public Health and Education - Dental Public Health Residency Program - Dental Residency Program, Other - Endodontics Residency Program - Endodontics/Endodontology - Oral and Maxillofacial Pathology Residency Program - Oral and Maxillofacial Radiology Residency Program - Oral Biology and Oral and Maxillofacial Pathology - Pediatric Dentistry Residency Program - Periodontics/Periodontology - Periodontology Residency Program -"
"Dentists general","$173,860","Doctoral Degree: Advanced General Dentistry - Dental Public Health Residency Program - Dentistry - Pediatric Dentistry Residency Program - Pediatric Dentistry/Pedodontics -"
"Diagnostic medical sonographers","$71,750","Associate's Degree: Diagnostic Medical Sonography/Sonographer and Ultrasound Technician -"
"Dietetic technicians","$29,360","High School Diploma: Dietetic Technician - Dietetics/Dietitian - Dietitian Assistant - Foods, Nutrition, and Wellness Studies, General - Nutrition Sciences -"
"Dietitians and nutritionists","$59,670","Post-Baccalaureate Certificate: Clinical Nutrition/Nutritionist - Dietetics and Clinical Nutrition Services, Other - Dietetics/Dietitian - Foods, Nutrition, and Related Services, Other - Foods, Nutrition, and Wellness Studies, General - Foodservice Systems Administration/Management - Human Nutrition - Nutrition Sciences -"
"Exercise physiologists","$50,310","Bachelor's Degree: Exercise Physiology - Kinesiology and Exercise Science - Kinesiotherapy/Kinesiotherapist -"
"Genetic counselors","$74,960","Master's Degree: Genetic Counseling/Counselor -"
"Health technologists and technicians all other","$46,020","any: Electroneurodiagnostic/Electroencephalographic Technology/Technologist - Gene/Genetic Therapy - Polysomnography - Radiologist Assistant - Renal/Dialysis Technologist/Technician -"
"Healthcare practitioners and technical workers all other","$57,960","any: Herbalism/Herbalist - Traditional Chinese Medicine and Chinese Herbology -"
"Hearing aid specialists","$53,000","Doctoral Degree: Hearing Instrument Specialist -"
"Licensed practical and licensed vocational nurses","$44,840","Post-Secondary Certificate: Licensed Practical/Vocational Nurse Training - Practical Nursing, Vocational Nursing and Nursing Assistants, Other -"
"Low vision therapists orientation and mobility specialists and vision rehabilitation therapists","$83,730","Master's Degree: Occupational Therapy/Therapist -"
"Magnetic resonance imaging technologists","$69,240","Associate's Degree: Magnetic Resonance Imaging (MRI) Technology/Technician -"
"Medical and clinical laboratory technicians","$41,700","Bachelor's Degree: Blood Bank Technology Specialist - Clinical/Medical Laboratory Assistant - Clinical/Medical Laboratory Science and Allied Professions, Other - Clinical/Medical Laboratory Technician - Hematology Technology/Technician - Histologic Technician -"
"Medical and clinical laboratory technologists","$62,440","Bachelor's Degree: Clinical Laboratory Science/Medical Technology/Technologist - Clinical/Medical Laboratory Science and Allied Professions, Other - Cytogenetics/Genetics/Clinical Genetics Technology/Technologist - Cytotechnology/Cytotechnologist - Histologic Technology/Histotechnologist -"
"Midwives","$57,960","Master's Degree: Herbalism/Herbalist - Traditional Chinese Medicine and Chinese Herbology -"
"Music therapists","$60,590","Bachelor's Degree: Animal-Assisted Therapy - Art Therapy/Therapist - Dance Therapy/Therapist - Movement Therapy and Movement Education - Music Therapy/Therapist - Rehabilitation and Therapeutic Professions, Other -"
"Neurodiagnostic technologists","$46,020","Associate's Degree: Electroneurodiagnostic/Electroencephalographic Technology/Technologist - Gene/Genetic Therapy - Polysomnography - Radiologist Assistant - Renal/Dialysis Technologist/Technician -"
"Nuclear medicine technologists","$75,960","Associate's Degree: Nuclear Medical Technology/Technologist -"
"Nurse anesthetists","$164,030","Master's Degree: Nurse Anesthetist -"
"Nurse midwives","$102,390","Master's Degree: Nurse Midwife/Nursing Midwifery -"
"Nurse practitioners","$104,610","Master's Degree: Adult Health Nurse/Nursing - Critical Care Nursing - Emergency Room/Trauma Nursing - Family Practice Nurse/Nursing - Geriatric Nurse/Nursing - Maternal/Child Health and Neonatal Nurse/Nursing - Nursing Practice - Pediatric Nurse/Nursing - Psychiatric/Mental Health Nurse/Nursing - Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other - Women's Health Nurse/Nursing -"
"Occupational therapists","$83,730","Master's Degree: Occupational Therapy/Therapist -"
"Ophthalmic medical technicians","$37,040","High School Diploma: Ophthalmic Technician/Technologist - Optometric Technician/Assistant - Orthoptics/Orthoptist -"
"Ophthalmic medical technologists","$46,020","High School Diploma: Electroneurodiagnostic/Electroencephalographic Technology/Technologist - Gene/Genetic Therapy - Polysomnography - Radiologist Assistant - Renal/Dialysis Technologist/Technician -"
"Opticians dispensing","$37,860","Associate's Degree: Opticianry/Ophthalmic Dispensing Optician -"
"Optometrists","$117,580","Doctoral Degree: Optometry -"
"Oral and maxillofacial surgeons","$232,870","Post-Doctoral Training: Oral and Maxillofacial Surgery Residency Program - Oral/Maxillofacial Surgery -"
